17/08/2021 11:32:46 2.73  103.21 41.04 100.82 0.22

17/08/2021 11:32:50 3.55  103.07 41.07 100.91 0.22

17/08/2021 11:32:54 3.56  103.17 41.04 100.87 0.22

17/08/2021 11:32:59 2.80  103.17 41.04 100.82 0.22

17/08/2021 11:33:03 3.56  103.12 41.07 100.82 0.22

17/08/2021 11:33:07 3.12  103.12 41.10 100.91 0.22

17/08/2021 11:33:11 3.55  102.98 41.13 100.87 0.22

17/08/2021 11:33:15 3.56  103.03 41.16 100.82 0.22

17/08/2021 11:33:19 2.65  103.21 41.22 100.87 0.22

17/08/2021 11:33:23 3.56  103.17 41.35 100.77 0.22

17/08/2021 11:33:27 3.56  103.17 41.35 100.91 0.22

17/08/2021 11:33:31 3.08  103.12 41.35 100.82 0.22

17/08/2021 11:33:35 3.54  103.17 41.35 100.87 0.22

17/08/2021 11:33:39 2.98  103.21 41.35 100.91 0.22

17/08/2021 11:33:43 3.54  103.12 41.35 100.87 0.22

17/08/2021 11:33:47 3.54  103.07 41.47 100.91 0.22

17/08/2021 11:33:51 2.44  103.21 41.50 100.91 0.22

17/08/2021 11:33:55 3.54  103.07 41.38 100.91 0.22

17/08/2021 11:33:59 3.54  103.12 41.56 100.87 0.22

17/08/2021 11:34:03 3.05  103.17 41.53 100.91 0.22

17/08/2021 11:34:07 3.54  103.12 41.62 100.87 0.22

17/08/2021 11:34:12 2.77  103.21 41.56 100.91 0.22

17/08/2021 11:34:16 3.54  inf inf inf 0.22

17/08/2021 11:34:20 3.50  inf inf inf 0.22

17/08/2021 11:34:24 3.50  inf inf inf 0.22

17/08/2021 11:34:28 2.39  inf inf inf 0.22

17/08/2021 11:34:32 3.51  inf inf inf 0.22

17/08/2021 11:34:36 3.55  inf inf inf 0.22

17/08/2021 11:34:40 3.49  inf inf 100.46 0.22

17/08/2021 11:34:44 3.54  102.75 41.56 100.50 0.22

17/08/2021 11:34:48 2.46  102.75 41.65 100.73 0.22

17/08/2021 11:34:52 3.39  102.89 41.65 100.64 0.22

17/08/2021 11:34:56 3.55  102.80 41.65 100.73 0.22

17/08/2021 11:35:00 3.54  102.89 41.65 100.82 0.22

17/08/2021 11:35:04 3.06  102.84 41.71 100.82 0.22

17/08/2021 11:35:08 2.90  102.89 41.86 100.87 0.22

17/08/2021 11:35:12 3.54  102.94 41.89 100.82 0.22

17/08/2021 11:35:16 3.55  103.03 41.92 100.91 inf

17/08/2021 11:35:20 3.46  103.03 41.92 100.87 inf

17/08/2021 11:35:25 2.41  103.07 41.89 100.91 inf

17/08/2021 11:35:29 3.52  103.07 41.95 100.91 inf

17/08/2021 11:35:33 3.51  103.12 41.95 100.91 inf

17/08/2021 11:35:37 3.53  103.12 41.98 100.91 inf

17/08/2021 11:35:41 2.45  103.17 41.95 100.91 inf

17/08/2021 11:35:45 3.53  103.17 42.04 100.91 inf

17/08/2021 11:35:49 3.52  103.17 42.26 100.91 inf

17/08/2021 11:35:53 3.12  103.17 42.26 100.91 inf

17/08/2021 11:35:57 3.47  103.17 42.26 100.91 inf

17/08/2021 11:36:01 3.54  103.17 42.23 100.91 inf

17/08/2021 11:36:05 3.50  103.21 42.26 100.91 inf

17/08/2021 11:36:09 2.98  103.21 42.29 100.91 inf

17/08/2021 11:36:13 3.52  103.21 42.29 100.91 inf

17/08/2021 11:36:17 3.53  103.21 42.29 100.91 inf

